rang;id;nom;adresse;lien;annotateur_1;etiquette_1;confiance_1;annotateur_2;etiquette_2;confiance_2;arbitrage;presse_locale;guide_touristique;remarque
64;osm_n2924393155;Bistro du Marché;75bis Rue Monge, 75005 Paris;https://www.google.com/maps/search/Bistro+du+March%C3%A9+75bis+Rue+Monge%2C+75005+Paris;;;;—;—;—;;;;
65;osm_n6684800156;Bolan;22 Rue du Sommerard, 75005 Paris;https://www.google.com/maps/search/Bolan+22+Rue+du+Sommerard%2C+75005+Paris;;;;—;—;—;;;;
66;osm_n9470008156;Bistrot La Grange;17 Rue Lagrange, 75005 Paris;https://www.google.com/maps/search/Bistrot+La+Grange+17+Rue+Lagrange%2C+75005+Paris;;;;—;—;—;;;;
67;osm_n1133077162;Le Grand Amalfi;9 Quai de Montebello, 75005;https://www.google.com/maps/search/Le+Grand+Amalfi+9+Quai+de+Montebello%2C+75005;;;;—;—;—;;;;
68;osm_n1133077163;La Taverne;;https://www.google.com/maps/search/La+Taverne;;;;—;—;—;;;;
69;osm_n2868208169;Café Med;77 Rue Saint-Louis en l'Île, 75004 Paris;https://www.google.com/maps/search/Caf%C3%A9+Med+77+Rue+Saint-Louis+en+l%27%C3%8Ele%2C+75004+Paris;;;;—;—;—;;;;
70;osm_n1697702172;Guang Ming;7 Rue Laromiguière, 75005 Paris;https://www.google.com/maps/search/Guang+Ming+7+Rue+Laromigui%C3%A8re%2C+75005+Paris;;;;—;—;—;;;;
71;osm_n4399470176;Alliance;5 Rue de Poissy, 75005 Paris;https://www.google.com/maps/search/Alliance+5+Rue+de+Poissy%2C+75005+Paris;;;;—;—;—;;;;
72;osm_n3465494181;L'Escarmouche;40 Rue de la Montagne Sainte-Geneviève;https://www.google.com/maps/search/L%27Escarmouche+40+Rue+de+la+Montagne+Sainte-Genevi%C3%A8ve;;;;—;—;—;;;;
73;osm_n2298160184;Veganil;39 Rue Jussieu, 75005 Paris;https://www.google.com/maps/search/Veganil+39+Rue+Jussieu%2C+75005+Paris;;;;—;—;—;;;;
74;osm_n3085099186;Le Marmiton de Lutèce;6 Rue Saint-Séverin, 75005 Paris;https://www.google.com/maps/search/Le+Marmiton+de+Lut%C3%A8ce+6+Rue+Saint-S%C3%A9verin%2C+75005+Paris;;;;—;—;—;;;;
75;osm_n5949368186;Chez Kelly;27 Rue de la Harpe, 75005 Paris;https://www.google.com/maps/search/Chez+Kelly+27+Rue+de+la+Harpe%2C+75005+Paris;;;;—;—;—;;;;
76;osm_n5949368187;Santorini;25 Rue de la Harpe, 75005 Paris;https://www.google.com/maps/search/Santorini+25+Rue+de+la+Harpe%2C+75005+Paris;;;;—;—;—;;;;
77;osm_n5866451188;Safran;13 Rue de la Harpe, 75005 Paris;https://www.google.com/maps/search/Safran+13+Rue+de+la+Harpe%2C+75005+Paris;;;;—;—;—;;;;
78;osm_n4168447189;L'Avant Comptoir de la Terre;3 Carr de l'Odéon, 75006 Paris;https://www.google.com/maps/search/L%27Avant+Comptoir+de+la+Terre+3+Carr+de+l%27Od%C3%A9on%2C+75006+Paris;;;;—;—;—;;;;
79;osm_n4517189189;Le Petit Pontoise;9 Rue de Pontoise, 75005 Paris;https://www.google.com/maps/search/Le+Petit+Pontoise+9+Rue+de+Pontoise%2C+75005+Paris;;;;—;—;—;;;;
80;osm_n4403798190;Bistro des Lettres;33 Rue de Bièvre, 75005 Paris;https://www.google.com/maps/search/Bistro+des+Lettres+33+Rue+de+Bi%C3%A8vre%2C+75005+Paris;;;;—;—;—;;;;
81;osm_n9402142191;Mo Sarpi;;https://www.google.com/maps/search/Mo+Sarpi;;;;—;—;—;;;;
82;osm_n4677007192;Saveurs d'Asie;31 Place Maubert, 75005;https://www.google.com/maps/search/Saveurs+d%27Asie+31+Place+Maubert%2C+75005;;;;—;—;—;;;;
83;osm_n3350313193;Pizza Verone;6 Rue du Petit Pont, 75005 Paris;https://www.google.com/maps/search/Pizza+Verone+6+Rue+du+Petit+Pont%2C+75005+Paris;;;;—;—;—;;;;
84;osm_n3465203193;Loubnane;29 Rue Galande;https://www.google.com/maps/search/Loubnane+29+Rue+Galande;;;;—;—;—;;;;
85;osm_n13898698194;Salvia;;https://www.google.com/maps/search/Salvia;;;;—;—;—;;;;
86;osm_n6034964198;Bar à Iode - Saint-Germaine;34 Bd Saint-Germain, 75005 Paris;https://www.google.com/maps/search/Bar+%C3%A0+Iode+-+Saint-Germaine+34+Bd+Saint-Germain%2C+75005+Paris;;;;—;—;—;;;;
87;osm_n2939301201;La Rose de Damas;6 Bd Saint-Germain, 75005 Paris;https://www.google.com/maps/search/La+Rose+de+Damas+6+Bd+Saint-Germain%2C+75005+Paris;;;;—;—;—;;;;
88;osm_n2939306202;L'Atlas;12 Bd Saint-Germain, 75005 Paris;https://www.google.com/maps/search/L%27Atlas+12+Bd+Saint-Germain%2C+75005+Paris;;;;—;—;—;;;;
89;osm_n6188279205;Li Thang;;https://www.google.com/maps/search/Li+Thang;;;;—;—;—;;;;
90;osm_n5866476206;Anatolie Dürüm;9 rue de la Harpe, 75005 Paris;https://www.google.com/maps/search/Anatolie+D%C3%BCr%C3%BCm+9+rue+de+la+Harpe%2C+75005+Paris;;;;—;—;—;;;;
91;osm_n1930542208;Le Coupe-Chou;9 Rue de Lanneau, 75005 Paris;https://www.google.com/maps/search/Le+Coupe-Chou+9+Rue+de+Lanneau%2C+75005+Paris;;;;—;—;—;;;;
92;osm_n5866476208;Les Balkans;Rue de la Harpe;https://www.google.com/maps/search/Les+Balkans+Rue+de+la+Harpe;;;;—;—;—;;;;
93;osm_n2276138209;Indonesia;12 Rue de Vaugirard, 75006 Paris;https://www.google.com/maps/search/Indonesia+12+Rue+de+Vaugirard%2C+75006+Paris;;;;—;—;—;;;;
94;osm_n703430210;La Comedia;107 Rue Monge, 75005 Paris;https://www.google.com/maps/search/La+Comedia+107+Rue+Monge%2C+75005+Paris;;;;—;—;—;;;;
95;osm_n739770210;Restaurant de La Mosquée de Paris;39 Rue Geoffroy-Saint-Hilaire, 75005 Paris;https://www.google.com/maps/search/Restaurant+de+La+Mosqu%C3%A9e+de+Paris+39+Rue+Geoffroy-Saint-Hilaire%2C+75005+Paris;;;;—;—;—;;;;
96;osm_n10706926212;Xiu;48 Rue Monge, 75005 Paris;https://www.google.com/maps/search/Xiu+48+Rue+Monge%2C+75005+Paris;;;;—;—;—;;;;
